id,position_x,position_y,iteration_number,time
38,4.0,14.0,15,15
38,4.0,16.0,16,16
38,4.0,18.0,17,17
38,2.0,18.0,18,18
38,1.9999999999999996,16.0,19,19
38,1.9999999999999991,14.0,20,20
38,3.999999999999999,14.0,21,21
38,3.9999999999999987,12.0,22,22
38,1.9999999999999987,12.0,23,23
38,-1.3322676295501878e-15,12.0,24,24
39,0,0,0,0
39,2,0,1,1
39,4.0,0.0,2,2
39,6.0,0.0,3,3
39,6.0,-2.0,4,4
39,8.0,-2.0,5,5
40,0,0,0,0
40,2,0,1,1
40,2.0,2.0,2,2
40,0.0,2.0000000000000004,3,3
41,0,0,0,0
41,2,0,1,1
41,1.9999999999999996,-2.0,2,2
42,0,0,0,0
42,2,0,1,1
42,4.0,0.0,2,2
42,3.9999999999999996,-2.0,3,3
42,1.9999999999999996,-1.9999999999999998,4,4
42,-4.440892098500626e-16,-1.9999999999999996,5,5
43,0,0,0,0
43,2,0,1,1
43,1.9999999999999996,-2.0,2,2
43,3.9999999999999996,-2.0,3,3
43,6.0,-2.0,4,4
43,8.0,-2.0,5,5
44,0,0,0,0
44,2,0,1,1
44,2.0,2.0,2,2
44,0.0,2.0000000000000004,3,3
45,0,0,0,0
45,2,0,1,1
45,1.9999999999999996,-2.0,2,2
45,-4.440892098500626e-16,-1.9999999999999998,3,3
46,0,0,0,0
46,2,0,1,1
46,4.0,0.0,2,2
46,6.0,0.0,3,3
46,6.0,-2.0,4,4
46,8.0,-2.0,5,5
47,0,0,0,0
47,2,0,1,1
47,2.0,2.0,2,2
47,2.0,4.0,3,3
47,2.0,6.0,4,4
47,2.0,8.0,5,5
47,4.0,8.0,6,6
47,4.0,10.0,7,7
47,4.0,12.0,8,8
47,4.0,14.0,9,9
47,6.0,14.0,10,10
47,8.0,14.0,11,11
48,0,0,0,0
48,2,0,1,1
48,2.0,2.0,2,2
48,0.0,2.0000000000000004,3,3
49,0,0,0,0
49,2,0,1,1
49,4.0,0.0,2,2
49,4.0,2.0,3,3
49,6.0,2.0,4,4
49,6.0,4.0,5,5
50,0,0,0,0
50,2,0,1,1
