id,position_x,position_y,iteration_number,time
282,2.752771934321097,1.852925906478312,2,2
282,4.493826996641241,2.837165343794963,3,3
282,6.443970916407065,3.2809430947023133,4,4
282,8.260549433031423,4.117628515239115,5,5
283,0,0,0,0
283,2,0,1,1
283,2.2333414741986664,1.986341299076972,2,2
283,2.289882607739213,3.9855419143774853,3,3
283,0.29915724524772513,3.7931555033887308,4,4
283,0.6302852475398613,5.765553598626611,5,5
283,0.02221912568888107,7.670876561133784,6,6
283,-1.7408823908079396,6.7266980597228425,7,7
284,0,0,0,0
284,2,0,1,1
284,1.886614424873245,1.9967833411146976,2,2
284,0.6544664401152258,3.572159913130656,3,3
284,-1.338664564880297,3.4065434981062475,4,4
285,0,0,0,0
285,2,0,1,1
285,2.20280713979973,1.9896907458311839,2,2
285,3.6266141124408597,3.3942453744086922,3,3
285,2.3013740160093845,4.892156815986696,4,4
285,0.3262162399069488,5.206404742793032,5,5
285,1.3131893047390952,6.945911618115989,6,6
285,1.9893512628566898,8.828145664772935,7,7
285,-0.008087451511682664,8.726959784619508,8,8
286,0,0,0,0
286,2,0,1,1
286,1.5763269175408858,1.9546102218088375,2,2
286,3.5640951260167206,2.1754666216997394,3,3
286,5.563641750579253,2.2180494374894875,4,4
286,7.444811362840142,1.5389317084422978,5,5
287,0,0,0,0
287,2,0,1,1
287,2.815067413811832,-1.826380330309679,2,2
288,0,0,0,0
288,2,0,1,1
288,1.27284714014698,-1.8631287444531508,2,2
288,2.2336003021749185,-3.617253415522262,3,3
288,2.4457813521921064,-5.605966366657645,4,4
288,3.9397541396343425,-6.935645015949298,5,5
288,5.809405492426372,-7.64585894076557,6,6
288,7.365672565314147,-6.389661186490664,7,7
289,0,0,0,0
289,2,0,1,1
289,1.1427604324497436,1.8069699288660697,2,2
289,-0.5108118770405896,2.932002647184433,3,3
290,0,0,0,0
290,2,0,1,1
290,1.4433587467175948,1.9209764483574996,2,2
290,2.0839234113144407,3.8156207185227276,3,3
290,3.685177030139472,5.013947405282119,4,4
