id,startPosition,endPosition,survived,epilogue,total_iterations,total_time,step_size,moving_type,car probability
41,0,10.975726841001675,yes,Crossed,22,22,5.2768091526105465,D,0.0
42,0,11.93123036871421,yes,Crossed,25,25,9.33629936808095,D,0.0
43,0,7.25828272245823,yes,Crossed,25,25,0.7616574330309609,D,0.0
44,0,7.351091146128973,yes,Crossed,7,7,1.268330655001684,D,0.0
45,0,7.139782561651526,yes,Crossed,12,12,3.39033164311995,D,0.0
46,0,14.206663332733607,yes,Crossed,2,2,12.509359707187075,D,0.0
47,0,7.59004209468142,yes,Crossed,16,16,1.3158772775440992,D,0.0
48,0,7.085833759568822,yes,Crossed,8,8,3.960116565566083,D,0.0
49,0,8.963625875468498,yes,Crossed,3,3,8.063288499677778,D,0.0
50,0,7.5360108967971655,yes,Crossed,24,24,2.439033364294932,D,0.0
51,0,7.935421917725657,yes,Crossed,9,9,3.172296228263461,D,0.0
52,0,7.813354446638409,yes,Crossed,5,5,3.1651077758013697,D,0.0
53,0,7.6902670134362525,yes,Crossed,27,27,2.5757511656792005,D,0.0
54,0,7.912922261346276,yes,Crossed,8,8,0.9787354377931434,D,0.0
55,0,7.499024916166285,yes,Crossed,5,5,8.789581551150011,D,0.0
56,0,7.404564282381255,yes,Crossed,83,83,4.543045628365752,D,0.0
57,0,7.473750261193695,yes,Crossed,4,4,3.742916643670154,D,0.0
58,0,7.088338350122266,yes,Crossed,4,4,4.0181194090212555,D,0.0
59,0,7.35634899798944,yes,Crossed,5,5,0.7416514265029015,D,0.0
60,0,7.7031772904881315,yes,Crossed,31,31,4.689746418317136,D,0.0
61,0,8.78474614231071,yes,Crossed,7,7,3.1772767101247186,D,0.0
62,0,8.247664667953186,yes,Crossed,4,4,7.397323180795466,D,0.0
63,0,8.256268440659216,yes,Crossed,7,7,2.5833083412075792,D,0.0
64,0,7.260985325727448,yes,Crossed,10,10,2.4742480945520122,D,0.0
65,0,10.031178946704156,yes,Crossed,11,11,4.322928048139707,D,0.0
66,0,9.816703279636922,yes,Crossed,9,9,3.580920322735721,D,0.0
67,0,10.350220516976396,yes,Crossed,4,4,9.620868229733098,D,0.0
68,0,7.809801113150495,yes,Crossed,17,17,1.3052820644556726,D,0.0
69,0,7.812807107757339,yes,Crossed,4,4,2.2200817660056686,D,0.0
70,0,7.9811513481868,yes,Crossed,3,3,4.618346211828008,D,0.0
71,0,7.940757460640883,yes,Crossed,4,4,1.0152086772874385,D,0.0
72,0,12.469914346195665,yes,Crossed,3,3,11.788663677794762,D,0.0
73,0,10.655787283680402,yes,Crossed,55,55,7.359084503884508,D,0.0
74,0,9.323254993490377,yes,Crossed,4,4,6.424202888332764,D,0.0
75,0,8.473432810242667,yes,Crossed,8,8,6.298143044615589,D,0.0
76,0,9.35872017586304,yes,Crossed,8,8,4.529994845160033,D,0.0
77,0,7.264364461529056,yes,Crossed,3,3,2.0278318755011946,D,0.0
78,0,7.158624012602802,yes,Crossed,4,4,4.416721151483064,D,0.0
79,0,7.8979804339084225,yes,Crossed,3,3,1.4684045236527397,D,0.0
80,0,12.407359904242519,yes,Crossed,25,25,12.876375886008958,D,0.0
81,0,7.879516064510874,yes,Crossed,24,24,3.396435736550977,D,0.0
82,0,7.328389810588325,yes,Crossed,15,15,2.1002549272534035,D,0.0
83,0,7.811384243871169,yes,Crossed,5,5,1.4870369940634973,D,0.0
84,0,10.410328386494175,yes,Crossed,29,29,6.67533547181655,D,0.0
85,0,7.237677175461895,yes,Crossed,37,37,2.2819879622365016,D,0.0
